student_id,gender,age,province,college,major,total_courses,avg_score,weighted_avg_score,avg_gpa,weighted_gpa,fail_count,total_credits,library_visits,library_days,avg_visit_hour,total_online_duration,avg_online_duration,online_records,total_attendance,task_participation
pjxyqwbk746,男,22.0,61,人工智能学院,人工智能,105,85.57142857142857,0.0,3.0923809523809522,0.0,1,153.0,0.0,0.0,0.0,5304.12,757.7314285714285,7.0,0.0,0.0
pjxwzxfj984,男,27.0,14,电子工程学院,电子信息工程（第二学士学位）,22,94.31818181818181,76.48837209302326,2.6772727272727272,2.615503875968992,0,64.5,0.0,0.0,0.0,1.34,1.34,1.0,0.0,0.0
pjxuqwbj610,女,22.0,52,机电工程学院,测控技术与仪器,111,91.01801801801801,0.0,3.5405405405405403,0.0,0,146.0,757.0,334.0,12.82430647291942,2685.29,383.61285714285714,7.0,0.0,0.0
pjxyqwbj318,男,22.0,36,网络与信息安全学院,网络空间安全,113,87.6283185840708,0.0,3.3504424778761064,0.0,3,151.5,0.0,0.0,0.0,2578.92,368.4171428571429,7.0,0.0,0.0
pjxyqwbj410,男,22.0,37,网络与信息安全学院,网络空间安全,115,86.6608695652174,0.0,3.349565217391304,0.0,5,155.5,0.0,0.0,0.0,3877.7799999999997,553.9685714285714,7.0,0.0,0.0
pjxxxxbj915,女,22.0,61,通信工程学院,通信工程,93,93.46236559139786,0.0,3.5634408602150534,0.0,2,182.1,0.0,0.0,0.0,2139.12,305.5885714285714,7.0,0.0,0.0
pjwtqxbj913,女,22.0,65,生命科学技术学院,生物技术,111,87.03603603603604,0.0,3.2378378378378376,0.0,4,164.5,0.0,0.0,0.0,1436.5,287.3,5.0,0.0,0.0
pjxyqwbk578,男,22.0,61,人工智能学院,人工智能,114,83.10526315789474,0.0,2.917543859649123,0.0,9,172.0,0.0,0.0,0.0,1943.8600000000001,277.69428571428574,7.0,0.0,0.0
pjxuzsfj978,男,26.0,41,机电工程学院,电子封装技术（第二学士学位）,22,96.54545454545455,83.17557251908397,3.036363636363636,3.1541984732824426,0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjxqqxbj973,女,22.0,37,人文学院,哲学,100,88.79,0.0,3.165,0.0,3,140.3,0.0,0.0,0.0,3781.45,540.2071428571428,7.0,0.0,0.0
pjxyqxbk908,女,23.0,34,微电子学院,微电子科学与工程,121,88.54545454545455,0.0,3.3636363636363638,0.0,6,159.7,0.0,0.0,0.0,542.63,77.51857142857143,7.0,0.0,0.0
pjxyqxbl905,男,22.0,61,通信工程学院,通信工程,113,89.21238938053098,0.0,3.4185840707964603,0.0,2,153.2,0.0,0.0,0.0,684.41,97.77285714285713,7.0,0.0,0.0
pjxuqwbj622,男,22.0,52,机电工程学院,电气工程及其自动化,118,84.3135593220339,0.0,3.1016949152542375,0.0,3,160.0,0.0,0.0,0.0,5424.26,774.8942857142857,7.0,0.0,0.0
pjxyqxbl769,男,22.0,22,物理学院,电子信息科学与技术,116,83.51724137931035,0.0,2.943103448275862,0.0,3,158.0,0.0,0.0,0.0,1977.4,282.4857142857143,7.0,0.0,0.0
pjxyqxbk868,男,21.0,34,物理学院,电子信息科学与技术,125,75.304,0.0,2.5896,0.0,14,169.0,0.0,0.0,0.0,2435.73,347.9614285714286,7.0,0.0,0.0
pjxyqxbj765,女,23.0,15,微电子学院,集成电路设计与集成系统,110,89.51818181818182,0.0,3.4254545454545458,0.0,1,150.5,0.0,0.0,0.0,2050.24,292.89142857142855,7.0,0.0,0.0
pjxyqwbk631,女,23.0,61,计算机科学与技术学院,计算机科学与技术,111,84.54054054054055,0.0,3.1045045045045048,0.0,8,147.5,917.0,390.0,14.107960741548528,3037.35,433.90714285714284,7.0,0.0,0.0
